0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,match_id,home_team,away_team,home_score,away_score,home_formation,away_formation
Emiliano Martínez,Matt Targett,Matthew Cash,Ezri Konsa,Tyrone Mings,Jack Grealish,John McGinn,Trézéguet,Ross Barkley,Douglas Luiz,Ollie Watkins,Jed Steer,Neil Taylor,Ahmed El Mohamady,Marvelous Nakamba,Anwar El Ghazi,Conor Hourihane,Bertrand Traoré,Buffer,Buffer,Mat Ryan,Benjamin White,Adam Webster,Lewis Dunk,Solly March,Yves Bissouma,Tariq Lamptey,Pascal Groß,Neal Maupay,Danny Welbeck,Adam Lallana,Jason Steele,Dan Burn,Joël Veltman,Jayson Molumby,Steven Alzate,Aaron Connolly,Alireza Jahanbakhsh,Buffer,Buffer,58976,Aston Villa,Brighton and Hove Albion,1,2,4-2-3-1,3-4-1-2
Nick Pope,Charlie Taylor,James Tarkowski,Ben Mee,Matthew Lowton,Josh Brownhill,Jóhann Gudmundsson,Dwight McNeil,Ashley Westwood,Jay Rodriguez,Chris Wood,Bailey Peacock-Farrell,Kevin Long,Erik Pieters,Phil Bardsley,Robbie Brady,Ashley Barnes,Matej Vydra,Buffer,Buffer,Vicente Guaita,Cheikhou Kouyaté,Nathaniel Clyne,Scott Dann,Patrick van Aanholt,James McArthur,Jairo Riedewald,Andros Townsend,Eberechi Eze,Michy Batshuayi,Jordan Ayew,Jack Butland,Mamadou Sakho,Tyrick Mitchell,Joel Ward,Gary Cahill,Jeffrey Schlupp,Christian Benteke,Buffer,Buffer,58977,Burnley,Crystal Palace,1,0,4-4-2,4-4-2
Alphonse Areola,Joachim Andersen,Ola Aina,Antonee Robinson,Tosin Adarabioyo,Tom Cairney,Harrison Reed,Ademola Lookman,Mario Lemina,Bobby De Cordova-Reid,Ivan Cavaleiro,Marek Rodák,Joe Bryan,Denis Odoi,Tim Ream,André-Frank Zambo Anguissa,Ruben Loftus-Cheek,Aleksandar Mitrovic,Buffer,Buffer,Jordan Pickford,Ben Godfrey,Yerry Mina,Michael Keane,Allan,Abdoulaye Doucouré,Lucas Digne,Alex Iwobi,James Rodríguez,Dominic Calvert-Lewin,Richarlison,Robin Olsen,Mason Holgate,André Gomes,Tom Davies,Gylfi Sigurdsson,Bernard,Cenk Tosun,Buffer,Buffer,58978,Fulham,Everton,2,3,4-2-3-1,3-4-3
Illan Meslier,Robin Koch,Liam Cooper,Luke Ayling,Ezgjan Alioski,Stuart Dallas,Kalvin Phillips,Mateusz Klich,Jack Harrison,Raphinha,Patrick Bamford,Kiko Casilla,Pascal Struijk,Leif Davis,Rodrigo,Ian Poveda-Ocampo,Tyler Roberts,Hélder Costa,Buffer,Buffer,Bernd Leno,Gabriel Magalhães,Héctor Bellerín,Rob Holding,Kieran Tierney,Granit Xhaka,Nicolas Pépé,Willian,Joseph Willock,Dani Ceballos,Pierre-Emerick Aubameyang,Rúnar Alex Rúnarsson,Shkodran Mustafi,Ainsley Maitland-Niles,Bukayo Saka,Reiss Nelson,Eddie Nketiah,Alexandre Lacazette,Buffer,Buffer,58979,Leeds United,Arsenal,0,0,4-1-4-1,4-2-3-1
Alisson,James Milner,Andrew Robertson,Joel Matip,Fabinho,Curtis Jones,Georginio Wijnaldum,Naby Keïta,Diogo Jota,Sadio Mané,Roberto Firmino,Adrián,Nathaniel Phillips,Neco Williams,Konstantinos Tsimikas,Leighton Clarkson,Divock Origi,Takumi Minamino,Buffer,Buffer,Kasper Schmeichel,Christian Fuchs,Jonny Evans,Wesley Fofana,Nampalys Mendy,James Justin,Youri Tielemans,Marc Albrighton,Jamie Vardy,James Maddison,Harvey Barnes,Danny Ward,Wes Morgan,Luke Thomas,Hamza Choudhury,Cengiz Ünder,Dennis Praet,Kelechi Iheanacho,Buffer,Buffer,58980,Liverpool,Leicester City,3,0,4-3-3,3-4-2-1
David de Gea,Victor Lindelöf,Alex Telles,Harry Maguire,Aaron Wan-Bissaka,Bruno Fernandes,Marcus Rashford,Fred,Juan Mata,Nemanja Matic,Anthony Martial,Dean Henderson,Axel Tuanzebe,Brandon Williams,Scott McTominay,Daniel James,Donny van de Beek,Edinson Cavani,Buffer,Buffer,Sam Johnstone,Kyle Bartley,Semi Ajayi,Branislav Ivanovic,Darnell Furlong,Conor Townsend,Matheus Pereira,Romaine Sawyers,Conor Gallagher,Grady Diangana,Karlan Grant,David Button,Dara O'Shea,Rekeem Harper,Filip Krovinovic,Matt Phillips,Callum Robinson,Hal Robson-Kanu,Buffer,Buffer,58981,Manchester United,West Bromwich Albion,1,0,4-2-3-1,5-4-1
Karl Darlow,Federico Fernández,Jamal Lewis,Jamaal Lascelles,Ciaran Clark,Javier Manquillo,Isaac Hayden,Sean Longstaff,Allan Saint-Maximin,Jacob Murphy,Joelinton,Mark Gillespie,Fabian Schär,Emil Krafth,Miguel Almirón,Jeff Hendrick,Jonjo Shelvey,Andy Carroll,Buffer,Buffer,Édouard Mendy,Reece James,Ben Chilwell,Antonio Rüdiger,Kurt Zouma,Mateo Kovacic,Mason Mount,N'Golo Kanté,Tammy Abraham,Hakim Ziyech,Timo Werner,Kepa Arrizabalaga,Andreas Christensen,Emerson,César Azpilicueta,Jorginho,Olivier Giroud,Callum Hudson-Odoi,Buffer,Buffer,58982,Newcastle United,Chelsea,0,2,5-4-1,4-3-3
Aaron Ramsdale,Chris Basham,John Egan,Ethan Ampadu,George Baldock,Oliver Norwood,Sander Berge,John Fleck,Max Lowe,Oliver McBurnie,David McGoldrick,Michael Verrips,Phil Jagielka,Jack Robinson,John Lundstram,Ben Osborn,Oliver Burke,Rhian Brewster,Buffer,Buffer,Lukasz Fabianski,Angelo Ogbonna,Fabián Balbuena,Aaron Cresswell,Tomas Soucek,Vladimir Coufal,Declan Rice,Arthur Masuaku,Sébastien Haller,Jarrod Bowen,Pablo Fornals,Darren Randolph,Ben Johnson,Issa Diop,Manuel Lanzini,Mark Noble,Robert Snodgrass,Saïd Benrahma,Buffer,Buffer,58983,Sheffield United,West Ham United,0,1,3-5-2,3-4-3
Hugo Lloris,Sergio Reguilón,Serge Aurier,Toby Alderweireld,Eric Dier,Moussa Sissoko,Steven Bergwijn,Son Heung-Min,Tanguy Ndombele,Pierre-Emile Højbjerg,Harry Kane,Joe Hart,Joe Rodon,Ben Davies,Giovani Lo Celso,Lucas Moura,Carlos Vinícius,Gareth Bale,Buffer,Buffer,Ederson,Aymeric Laporte,Kyle Walker,Rúben Dias,João Cancelo,Kevin De Bruyne,Bernardo Silva,Rodri,Riyad Mahrez,Gabriel Jesus,Ferran Torres,Zack Steffen,Eric García,John Stones,Ilkay Gündogan,Phil Foden,Sergio Agüero,Raheem Sterling,Buffer,Buffer,58984,Tottenham Hotspur,Manchester City,2,0,4-2-3-1,4-3-3
Rui Patrício,Nélson Semedo,Maximilian Kilman,Rayan Aït-Nouri,Willy Boly,Rúben Neves,João Moutinho,Leander Dendoncker,Daniel Podence,Raúl Jiménez,Adama Traoré,John Ruddy,Ki-Jana Hoever,Marçal,Vitinha,Owen Otasowie,Pedro Neto,Fábio Silva,Buffer,Buffer,Alex McCarthy,Jan Bednarek,Ryan Bertrand,Jannik Vestergaard,Kyle Walker-Peters,Moussa Djenepo,Stuart Armstrong,Oriol Romeu,James Ward-Prowse,Theo Walcott,Che Adams,Fraser Forster,Jack Stephens,Ibrahima Diallo,Nathan Tella,Michael Obafemi,Shane Long,Daniel N'Lundulu,Buffer,Buffer,58985,Wolverhampton Wanderers,Southampton,1,1,4-3-3,4-4-2
Bernd Leno,David Luiz,Gabriel Magalhães,Héctor Bellerín,Kieran Tierney,Willian,Bukayo Saka,Granit Xhaka,Joseph Willock,Dani Ceballos,Pierre-Emerick Aubameyang,Rúnar Alex Rúnarsson,Rob Holding,Cédric Soares,Mohamed Elneny,Alexandre Lacazette,Eddie Nketiah,Reiss Nelson,Buffer,Buffer,Rui Patrício,Marçal,Willy Boly,Nélson Semedo,Conor Coady,Pedro Neto,Adama Traoré,João Moutinho,Daniel Podence,Leander Dendoncker,Raúl Jiménez,John Ruddy,Ki-Jana Hoever,Rayan Aït-Nouri,Maximilian Kilman,Vitinha,Rúben Neves,Fábio Silva,Buffer,Buffer,58986,Arsenal,Wolverhampton Wanderers,1,2,4-2-3-1,4-2-3-1
Mat Ryan,Lewis Dunk,Adam Webster,Benjamin White,Yves Bissouma,Solly March,Joël Veltman,Pascal Groß,Neal Maupay,Danny Welbeck,Aaron Connolly,Jason Steele,Dan Burn,Adam Lallana,Jayson Molumby,Steven Alzate,Leandro Trossard,Alireza Jahanbakhsh,Buffer,Buffer,Alisson,Andrew Robertson,Neco Williams,Nathaniel Phillips,Fabinho,Takumi Minamino,James Milner,Georginio Wijnaldum,Roberto Firmino,Diogo Jota,Mohamed Salah,Adrián,Konstantinos Tsimikas,Rhys Williams,Jordan Henderson,Curtis Jones,Sadio Mané,Divock Origi,Buffer,Buffer,58987,Brighton and Hove Albion,Liverpool,1,1,3-4-1-2,4-3-3
Édouard Mendy,Kurt Zouma,Thiago Silva,Ben Chilwell,Reece James,N'Golo Kanté,Mateo Kovacic,Mason Mount,Timo Werner,Tammy Abraham,Hakim Ziyech,Kepa Arrizabalaga,Antonio Rüdiger,César Azpilicueta,Kai Havertz,Christian Pulisic,Jorginho,Olivier Giroud,Buffer,Buffer,Hugo Lloris,Sergio Reguilón,Serge Aurier,Joe Rodon,Eric Dier,Moussa Sissoko,Steven Bergwijn,Son Heung-Min,Tanguy Ndombele,Pierre-Emile Højbjerg,Harry Kane,Joe Hart,Davinson Sánchez,Ben Davies,Giovani Lo Celso,Lucas Moura,Carlos Vinícius,Gareth Bale,Buffer,Buffer,58988,Chelsea,Tottenham Hotspur,0,0,4-3-3,4-2-3-1
Vicente Guaita,Gary Cahill,Nathaniel Clyne,Scott Dann,Patrick van Aanholt,James McArthur,Cheikhou Kouyaté,Andros Townsend,Eberechi Eze,Jordan Ayew,Jeffrey Schlupp,Jack Butland,Mamadou Sakho,James Tomkins,Joel Ward,Jairo Riedewald,Christian Benteke,Michy Batshuayi,Buffer,Buffer,Karl Darlow,Javier Manquillo,Federico Fernández,Ciaran Clark,Jamal Lewis,Miguel Almirón,Jonjo Shelvey,Jeff Hendrick,Sean Longstaff,Joelinton,Callum Wilson,Mark Gillespie,Fabian Schär,DeAndre Yedlin,Elliot Anderson,Matthew Longstaff,Matt Ritchie,Jacob Murphy,Buffer,Buffer,58989,Crystal Palace,Newcastle United,0,2,4-4-2,4-4-2
Jordan Pickford,Ben Godfrey,Michael Keane,Mason Holgate,Tom Davies,Alex Iwobi,Allan,Abdoulaye Doucouré,James Rodríguez,Richarlison,Dominic Calvert-Lewin,Jonas Lössl,Yerry Mina,André Gomes,Fabian Delph,Gylfi Sigurdsson,Bernard,Cenk Tosun,Buffer,Buffer,Illan Meslier,Robin Koch,Luke Ayling,Stuart Dallas,Liam Cooper,Raphinha,Mateusz Klich,Kalvin Phillips,Ezgjan Alioski,Jack Harrison,Patrick Bamford,Kiko Casilla,Pascal Struijk,Leif Davis,Tyler Roberts,Ian Poveda-Ocampo,Rodrigo,Hélder Costa,Buffer,Buffer,58990,Everton,Leeds United,0,1,3-4-3,4-4-1-1
Kasper Schmeichel,Christian Fuchs,Jonny Evans,Wesley Fofana,Nampalys Mendy,James Justin,Youri Tielemans,Luke Thomas,Jamie Vardy,James Maddison,Dennis Praet,Danny Ward,Wes Morgan,Hamza Choudhury,Marc Albrighton,Harvey Barnes,Cengiz Ünder,Kelechi Iheanacho,Buffer,Buffer,Alphonse Areola,Bobby De Cordova-Reid,Antonee Robinson,Ola Aina,Tosin Adarabioyo,Joachim Andersen,Ademola Lookman,Ruben Loftus-Cheek,André-Frank Zambo Anguissa,Harrison Reed,Ivan Cavaleiro,Marek Rodák,Joe Bryan,Tim Ream,Tom Cairney,Mario Lemina,Aboubakar Kamara,Aleksandar Mitrovic,Buffer,Buffer,58991,Leicester City,Fulham,1,2,3-4-2-1,5-4-1
Ederson,John Stones,Benjamin Mendy,Kyle Walker,Rúben Dias,Ilkay Gündogan,Kevin De Bruyne,Ferran Torres,Riyad Mahrez,Rodri,Gabriel Jesus,Zack Steffen,Eric García,João Cancelo,Fernandinho,Bernardo Silva,Phil Foden,Raheem Sterling,Buffer,Buffer,Bailey Peacock-Farrell,Charlie Taylor,James Tarkowski,Ben Mee,Matthew Lowton,Josh Benson,Ashley Barnes,Jay Rodriguez,Ashley Westwood,Chris Wood,Dwight McNeil,Will Norris,Kevin Long,Erik Pieters,Jimmy Dunne,Jóhann Gudmundsson,Mace Goodridge,Matej Vydra,Buffer,Buffer,58992,Manchester City,Burnley,5,0,4-2-3-1,4-4-1-1
Alex McCarthy,Jannik Vestergaard,Kyle Walker-Peters,Jan Bednarek,Ryan Bertrand,James Ward-Prowse,Oriol Romeu,Moussa Djenepo,Stuart Armstrong,Theo Walcott,Che Adams,Fraser Forster,Jack Stephens,Nathan Tella,Ibrahima Diallo,Daniel N'Lundulu,Shane Long,Michael Obafemi,Buffer,Buffer,David de Gea,Victor Lindelöf,Alex Telles,Harry Maguire,Aaron Wan-Bissaka,Bruno Fernandes,Fred,Nemanja Matic,Donny van de Beek,Marcus Rashford,Mason Greenwood,Dean Henderson,Timothy Fosu-Mensah,Brandon Williams,Axel Tuanzebe,Daniel James,Juan Mata,Edinson Cavani,Buffer,Buffer,58993,Southampton,Manchester United,2,3,4-4-2,4-3-1-2
Sam Johnstone,Kyle Bartley,Semi Ajayi,Branislav Ivanovic,Romaine Sawyers,Darnell Furlong,Conor Gallagher,Conor Townsend,Matheus Pereira,Callum Robinson,Karlan Grant,David Button,Dara O'Shea,Rekeem Harper,Filip Krovinovic,Grady Diangana,Matt Phillips,Hal Robson-Kanu,Buffer,Buffer,Aaron Ramsdale,Chris Basham,John Egan,Kean Bryan,Max Lowe,George Baldock,Sander Berge,John Fleck,Oliver Norwood,Oliver McBurnie,Oliver Burke,Michael Verrips,Phil Jagielka,Ben Osborn,John Lundstram,Rhian Brewster,David McGoldrick,Lys Mousset,Buffer,Buffer,58994,West Bromwich Albion,Sheffield United,1,0,3-4-1-2,3-5-2
Lukasz Fabianski,Angelo Ogbonna,Aaron Cresswell,Fabián Balbuena,Declan Rice,Tomas Soucek,Arthur Masuaku,Vladimir Coufal,Jarrod Bowen,Michail Antonio,Pablo Fornals,Darren Randolph,Issa Diop,Ben Johnson,Manuel Lanzini,Mark Noble,Saïd Benrahma,Sébastien Haller,Buffer,Buffer,Emiliano Martínez,Ezri Konsa,Matthew Cash,Matt Targett,Tyrone Mings,Conor Hourihane,Douglas Luiz,John McGinn,Jack Grealish,Trézéguet,Ollie Watkins,Jed Steer,Neil Taylor,Ahmed El Mohamady,Marvelous Nakamba,Anwar El Ghazi,Jacob Ramsey,Bertrand Traoré,Buffer,Buffer,58995,West Ham United,Aston Villa,2,1,3-4-2-1,4-3-3
Emiliano Martínez,Tyrone Mings,Matthew Cash,Ezri Konsa,Matt Targett,Marvelous Nakamba,Douglas Luiz,Ross Barkley,Jack Grealish,Bertrand Traoré,Ollie Watkins,Tom Heaton,Björn Engels,Frédéric Guilbert,Neil Taylor,Ahmed El Mohamady,Jacob Ramsey,Anwar El Ghazi,Trézéguet,Keinan Davis,Karl Darlow,Isaac Hayden,Fabian Schär,Jamaal Lascelles,Jamal Lewis,Javier Manquillo,Jonjo Shelvey,Jeff Hendrick,Miguel Almirón,Andy Carroll,Callum Wilson,Martin Dúbravka,Emil Krafth,Matt Ritchie,Jacob Murphy,Ryan Fraser,Matthew Longstaff,Allan Saint-Maximin,Joelinton,Dwight Gayle,58996,Aston Villa,Newcastle United,2,0,4-2-3-1,5-3-2
Mat Ryan,Joël Veltman,Adam Webster,Lewis Dunk,Solly March,Benjamin White,Tariq Lamptey,Yves Bissouma,Pascal Groß,Danny Welbeck,Aaron Connolly,Jason Steele,Bernardo,Dan Burn,Steven Alzate,Neal Maupay,Leandro Trossard,Alireza Jahanbakhsh,Buffer,Buffer,Alex McCarthy,Jannik Vestergaard,Kyle Walker-Peters,Jan Bednarek,Ryan Bertrand,James Ward-Prowse,Oriol Romeu,Moussa Djenepo,Stuart Armstrong,Theo Walcott,Che Adams,Fraser Forster,Jack Stephens,Mohammed Salisu,Ibrahima Diallo,Nathan Redmond,Shane Long,Danny Ings,Buffer,Buffer,58997,Brighton and Hove Albion,Southampton,1,2,3-4-1-2,4-4-2
Nick Pope,James Tarkowski,Charlie Taylor,Ben Mee,Matthew Lowton,Robbie Brady,Dwight McNeil,Ashley Westwood,Josh Brownhill,Chris Wood,Jay Rodriguez,Bailey Peacock-Farrell,Kevin Long,Jimmy Dunne,Erik Pieters,Josh Benson,Ashley Barnes,Matej Vydra,Buffer,Buffer,Jordan Pickford,Ben Godfrey,Michael Keane,Yerry Mina,Allan,Abdoulaye Doucouré,Fabian Delph,Alex Iwobi,Dominic Calvert-Lewin,James Rodríguez,Richarlison,Jonas Lössl,Mason Holgate,André Gomes,Tom Davies,Gylfi Sigurdsson,Bernard,Cenk Tosun,Buffer,Buffer,58998,Burnley,Everton,1,1,4-4-2,3-4-3
Édouard Mendy,Kurt Zouma,Thiago Silva,Ben Chilwell,Reece James,Kai Havertz,N'Golo Kanté,Mason Mount,Timo Werner,Olivier Giroud,Hakim Ziyech,Kepa Arrizabalaga,Antonio Rüdiger,César Azpilicueta,Mateo Kovacic,Christian Pulisic,Jorginho,Tammy Abraham,Buffer,Buffer,Illan Meslier,Luke Ayling,Liam Cooper,Robin Koch,Ezgjan Alioski,Jack Harrison,Stuart Dallas,Kalvin Phillips,Raphinha,Patrick Bamford,Mateusz Klich,Kiko Casilla,Diego Llorente,Pascal Struijk,Hélder Costa,Rodrigo,Ian Poveda-Ocampo,Tyler Roberts,Buffer,Buffer,58999,Chelsea,Leeds United,3,1,4-3-3,4-4-1-1
Caoimhin Kelleher,Andrew Robertson,Joel Matip,Fabinho,Neco Williams,Jordan Henderson,Georginio Wijnaldum,Curtis Jones,Mohamed Salah,Sadio Mané,Roberto Firmino,Adrián,Nathaniel Phillips,Konstantinos Tsimikas,Trent Alexander-Arnold,Naby Keïta,Takumi Minamino,Diogo Jota,Buffer,Buffer,Rui Patrício,Conor Coady,Nélson Semedo,Willy Boly,Marçal,Rúben Neves,João Moutinho,Leander Dendoncker,Daniel Podence,Adama Traoré,Pedro Neto,John Ruddy,Rayan Aït-Nouri,Ki-Jana Hoever,Maximilian Kilman,Romain Saïss,Vitinha,Fábio Silva,Buffer,Buffer,59000,Liverpool,Wolverhampton Wanderers,4,0,4-3-3,4-3-3
Ederson,John Stones,Benjamin Mendy,João Cancelo,Rúben Dias,Rodri,Ilkay Gündogan,Kevin De Bruyne,Riyad Mahrez,Raheem Sterling,Gabriel Jesus,Zack Steffen,Eric García,Aymeric Laporte,Fernandinho,Bernardo Silva,Phil Foden,Ferran Torres,Buffer,Buffer,Alphonse Areola,Tosin Adarabioyo,Ola Aina,Joachim Andersen,Antonee Robinson,Harrison Reed,André-Frank Zambo Anguissa,Bobby De Cordova-Reid,Ademola Lookman,Ruben Loftus-Cheek,Ivan Cavaleiro,Marek Rodák,Tim Ream,Joe Bryan,Mario Lemina,Tom Cairney,Aboubakar Kamara,Aleksandar Mitrovic,Buffer,Buffer,59001,Manchester City,Fulham,2,0,4-2-3-1,3-4-1-2
Aaron Ramsdale,George Baldock,Chris Basham,Max Lowe,Kean Bryan,John Egan,John Fleck,Sander Berge,John Lundstram,Oliver Burke,Oliver McBurnie,Michael Verrips,Phil Jagielka,Ben Osborn,Oliver Norwood,David McGoldrick,Rhian Brewster,Billy Sharp,Buffer,Buffer,Kasper Schmeichel,Wesley Fofana,Christian Fuchs,Jonny Evans,James Justin,Youri Tielemans,Nampalys Mendy,Marc Albrighton,Ayoze Pérez,James Maddison,Jamie Vardy,Danny Ward,Wes Morgan,Harvey Barnes,Cengiz Ünder,Wilfred Ndidi,Dennis Praet,Kelechi Iheanacho,Buffer,Buffer,59002,Sheffield United,Leicester City,1,2,5-3-2,3-4-2-1
Hugo Lloris,Toby Alderweireld,Eric Dier,Sergio Reguilón,Serge Aurier,Pierre-Emile Højbjerg,Giovani Lo Celso,Son Heung-Min,Steven Bergwijn,Moussa Sissoko,Harry Kane,Joe Hart,Joe Rodon,Ben Davies,Harry Winks,Carlos Vinícius,Gareth Bale,Lucas Moura,Buffer,Buffer,Bernd Leno,Gabriel Magalhães,Rob Holding,Héctor Bellerín,Kieran Tierney,Bukayo Saka,Thomas Partey,Granit Xhaka,Willian,Alexandre Lacazette,Pierre-Emerick Aubameyang,Rúnar Alex Rúnarsson,Shkodran Mustafi,Dani Ceballos,Mohamed Elneny,Ainsley Maitland-Niles,Joseph Willock,Eddie Nketiah,Buffer,Buffer,59003,Tottenham Hotspur,Arsenal,2,0,4-2-3-1,4-2-3-1
Sam Johnstone,Branislav Ivanovic,Kyle Bartley,Semi Ajayi,Darnell Furlong,Romaine Sawyers,Matt Phillips,Conor Gallagher,Matheus Pereira,Karlan Grant,Grady Diangana,David Button,Kieran Gibbs,Dara O'Shea,Filip Krovinovic,Kamil Grosicki,Callum Robinson,Charlie Austin,Buffer,Buffer,Vicente Guaita,Cheikhou Kouyaté,Gary Cahill,Nathaniel Clyne,Patrick van Aanholt,Eberechi Eze,James McArthur,Luka Milivojevic,Jeffrey Schlupp,Christian Benteke,Wilfried Zaha,Jack Butland,Joel Ward,Mamadou Sakho,Jairo Riedewald,Andros Townsend,Michy Batshuayi,Jordan Ayew,Buffer,Buffer,59004,West Bromwich Albion,Crystal Palace,1,5,3-4-1-2,4-4-2
Lukasz Fabianski,Angelo Ogbonna,Aaron Cresswell,Fabián Balbuena,Declan Rice,Tomas Soucek,Arthur Masuaku,Vladimir Coufal,Jarrod Bowen,Sébastien Haller,Pablo Fornals,Darren Randolph,Issa Diop,Ben Johnson,Manuel Lanzini,Robert Snodgrass,Mark Noble,Saïd Benrahma,Buffer,Buffer,Dean Henderson,Victor Lindelöf,Alex Telles,Harry Maguire,Aaron Wan-Bissaka,Mason Greenwood,Paul Pogba,Anthony Martial,Scott McTominay,Donny van de Beek,Edinson Cavani,Lee Grant,Axel Tuanzebe,Brandon Williams,Nemanja Matic,Bruno Fernandes,Juan Mata,Marcus Rashford,Buffer,Buffer,59005,West Ham United,Manchester United,1,3,3-4-2-1,4-2-3-1
Bernd Leno,Héctor Bellerín,Rob Holding,Gabriel Magalhães,Kieran Tierney,Granit Xhaka,Mohamed Elneny,Willian,Alexandre Lacazette,Bukayo Saka,Pierre-Emerick Aubameyang,Rúnar Alex Rúnarsson,Shkodran Mustafi,Dani Ceballos,Ainsley Maitland-Niles,Joseph Willock,Emile Smith Rowe,Eddie Nketiah,Buffer,Buffer,Nick Pope,Ben Mee,Charlie Taylor,Matthew Lowton,James Tarkowski,Dwight McNeil,Robbie Brady,Josh Brownhill,Ashley Westwood,Chris Wood,Jay Rodriguez,Bailey Peacock-Farrell,Kevin Long,Erik Pieters,Jimmy Dunne,Josh Benson,Matej Vydra,Ashley Barnes,Buffer,Buffer,59006,Arsenal,Burnley,0,1,4-2-3-1,4-4-1-1
Vicente Guaita,Cheikhou Kouyaté,Patrick van Aanholt,Gary Cahill,Nathaniel Clyne,Luka Milivojevic,Eberechi Eze,Jeffrey Schlupp,James McArthur,Wilfried Zaha,Christian Benteke,Jack Butland,Joel Ward,James Tomkins,Andros Townsend,Jairo Riedewald,Jordan Ayew,Michy Batshuayi,Buffer,Buffer,Hugo Lloris,Serge Aurier,Sergio Reguilón,Eric Dier,Toby Alderweireld,Moussa Sissoko,Son Heung-Min,Tanguy Ndombele,Steven Bergwijn,Pierre-Emile Højbjerg,Harry Kane,Joe Hart,Ben Davies,Matt Doherty,Joe Rodon,Giovani Lo Celso,Dele Alli,Lucas Moura,Buffer,Buffer,59007,Crystal Palace,Tottenham Hotspur,1,1,4-4-2,4-2-3-1
Jordan Pickford,Michael Keane,Yerry Mina,Ben Godfrey,Mason Holgate,Allan,Gylfi Sigurdsson,Abdoulaye Doucouré,Dominic Calvert-Lewin,Richarlison,Alex Iwobi,Robin Olsen,Jonjoe Kenny,André Gomes,Tom Davies,Anthony Gordon,Bernard,Cenk Tosun,Buffer,Buffer,Édouard Mendy,Ben Chilwell,Reece James,Kurt Zouma,Thiago Silva,N'Golo Kanté,Mateo Kovacic,Mason Mount,Olivier Giroud,Kai Havertz,Timo Werner,Kepa Arrizabalaga,César Azpilicueta,Antonio Rüdiger,Faustino Anjorin,Jorginho,Billy Gilmour,Tammy Abraham,Buffer,Buffer,59008,Everton,Chelsea,1,0,4-3-3,4-3-3
Alphonse Areola,Joachim Andersen,Tosin Adarabioyo,Ola Aina,André-Frank Zambo Anguissa,Antonee Robinson,Mario Lemina,Bobby De Cordova-Reid,Ruben Loftus-Cheek,Ivan Cavaleiro,Ademola Lookman,Marek Rodák,Tim Ream,Joe Bryan,Tom Cairney,Harrison Reed,Neeskens Kebano,Aboubakar Kamara,Buffer,Buffer,Alisson,Fabinho,Andrew Robertson,Trent Alexander-Arnold,Joel Matip,Georginio Wijnaldum,Curtis Jones,Jordan Henderson,Roberto Firmino,Mohamed Salah,Sadio Mané,Caoimhin Kelleher,Neco Williams,Nathaniel Phillips,Alex Oxlade-Chamberlain,Jake Cain,Divock Origi,Takumi Minamino,Buffer,Buffer,59009,Fulham,Liverpool,1,1,3-4-2-1,4-3-3
Illan Meslier,Ezgjan Alioski,Luke Ayling,Liam Cooper,Stuart Dallas,Raphinha,Kalvin Phillips,Rodrigo,Mateusz Klich,Jack Harrison,Patrick Bamford,Kiko Casilla,Pascal Struijk,Pablo Hernández,Jamie Shackleton,Hélder Costa,Ian Poveda-Ocampo,Tyler Roberts,Buffer,Buffer,Lukasz Fabianski,Aaron Cresswell,Vladimir Coufal,Fabián Balbuena,Angelo Ogbonna,Declan Rice,Pablo Fornals,Tomas Soucek,Saïd Benrahma,Jarrod Bowen,Sébastien Haller,Darren Randolph,Craig Dawson,Ben Johnson,Ryan Fredericks,Mark Noble,Manuel Lanzini,Robert Snodgrass,Buffer,Buffer,59010,Leeds United,West Ham United,1,2,4-1-4-1,4-2-3-1
Kasper Schmeichel,Christian Fuchs,Jonny Evans,Wesley Fofana,Wilfred Ndidi,Youri Tielemans,James Justin,Marc Albrighton,Ayoze Pérez,Jamie Vardy,James Maddison,Danny Ward,Wes Morgan,Nampalys Mendy,Cengiz Ünder,Harvey Barnes,Dennis Praet,Kelechi Iheanacho,Buffer,Buffer,Mat Ryan,Lewis Dunk,Dan Burn,Benjamin White,Joël Veltman,Solly March,Alireza Jahanbakhsh,Pascal Groß,Yves Bissouma,Neal Maupay,Danny Welbeck,Jason Steele,Adam Webster,Alexis Mac Allister,Davy Pröpper,Steven Alzate,Aaron Connolly,Leandro Trossard,Buffer,Buffer,59011,Leicester City,Brighton and Hove Albion,3,0,3-4-2-1,4-2-3-1
David de Gea,Aaron Wan-Bissaka,Victor Lindelöf,Luke Shaw,Harry Maguire,Bruno Fernandes,Paul Pogba,Mason Greenwood,Scott McTominay,Fred,Marcus Rashford,Dean Henderson,Eric Bailly,Alex Telles,Nemanja Matic,Juan Mata,Donny van de Beek,Anthony Martial,Buffer,Buffer,Ederson,Rúben Dias,João Cancelo,John Stones,Kyle Walker,Riyad Mahrez,Raheem Sterling,Fernandinho,Rodri,Kevin De Bruyne,Gabriel Jesus,Zack Steffen,Benjamin Mendy,Aymeric Laporte,Phil Foden,Ilkay Gündogan,Bernardo Silva,Ferran Torres,Buffer,Buffer,59012,Manchester United,Manchester City,0,0,4-2-3-1,4-2-3-1
