0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,match_id,home_team,away_team,home_score,away_score,home_formation,away_formation
Kasper Schmeichel,Daniel Amartey,Çaglar Söyüncü,Jonny Evans,James Justin,Youri Tielemans,Timothy Castagne,Nampalys Mendy,Jamie Vardy,Ayoze Pérez,Harvey Barnes,Danny Ward,Wesley Fofana,Christian Fuchs,Cengiz Ünder,Marc Albrighton,Hamza Choudhury,Kelechi Iheanacho,Buffer,Buffer,Lukasz Fabianski,Aaron Cresswell,Vladimir Coufal,Arthur Masuaku,Fabián Balbuena,Angelo Ogbonna,Jarrod Bowen,Pablo Fornals,Declan Rice,Tomas Soucek,Michail Antonio,Darren Randolph,Ben Johnson,Felipe Anderson,Mark Noble,Manuel Lanzini,Andriy Yarmolenko,Sébastien Haller,Buffer,Buffer,58931,Leicester City,West Ham United,0,3,3-4-3,5-4-1
David de Gea,Eric Bailly,Harry Maguire,Luke Shaw,Aaron Wan-Bissaka,Paul Pogba,Bruno Fernandes,Marcus Rashford,Nemanja Matic,Mason Greenwood,Anthony Martial,Dean Henderson,Victor Lindelöf,Scott McTominay,Juan Mata,Fred,Jesse Lingard,Donny van de Beek,Buffer,Buffer,Hugo Lloris,Davinson Sánchez,Sergio Reguilón,Serge Aurier,Eric Dier,Tanguy Ndombele,Pierre-Emile Højbjerg,Moussa Sissoko,Harry Kane,Son Heung-Min,Erik Lamela,Joe Hart,Ben Davies,Toby Alderweireld,Matt Doherty,Harry Winks,Dele Alli,Lucas Moura,Buffer,Buffer,58932,Manchester United,Tottenham Hotspur,1,6,4-2-3-1,4-3-3
Karl Darlow,Jamal Lewis,Fabian Schär,Federico Fernández,Emil Krafth,Jonjo Shelvey,Allan Saint-Maximin,Isaac Hayden,Jeff Hendrick,Callum Wilson,Joelinton,Mark Gillespie,Javier Manquillo,Sean Longstaff,Jacob Murphy,Miguel Almirón,Ryan Fraser,Andy Carroll,Buffer,Buffer,Nick Pope,Charlie Taylor,Phil Bardsley,Kevin Long,James Tarkowski,Josh Brownhill,Dale Stephens,Dwight McNeil,Ashley Westwood,Ashley Barnes,Chris Wood,Bailey Peacock-Farrell,Erik Pieters,Jimmy Dunne,Robbie Brady,Jóhann Gudmundsson,Josh Benson,Matej Vydra,Buffer,Buffer,58933,Newcastle United,Burnley,3,1,4-4-2,4-4-2
Alex McCarthy,Kyle Walker-Peters,Ryan Bertrand,Jannik Vestergaard,Jan Bednarek,Moussa Djenepo,Oriol Romeu,Stuart Armstrong,James Ward-Prowse,Danny Ings,Che Adams,Fraser Forster,Yan Valery,Jack Stephens,William Smallbone,Nathan Redmond,Shane Long,Michael Obafemi,Buffer,Buffer,Sam Johnstone,Semi Ajayi,Conor Townsend,Kyle Bartley,Dara O'Shea,Kyle Edwards,Grady Diangana,Matheus Pereira,Jake Livermore,Romaine Sawyers,Callum Robinson,David Button,Darnell Furlong,Branislav Ivanovic,Rekeem Harper,Filip Krovinovic,Sam Field,Hal Robson-Kanu,Buffer,Buffer,58934,Southampton,West Bromwich Albion,2,0,4-4-2,4-2-3-1
Rui Patrício,Maximilian Kilman,Conor Coady,Willy Boly,Romain Saïss,Rúben Neves,Leander Dendoncker,Nélson Semedo,Pedro Neto,Daniel Podence,Raúl Jiménez,John Ruddy,Ki-Jana Hoever,Oskar Buur,Vitinha,João Moutinho,Adama Traoré,Fábio Silva,Buffer,Buffer,Alphonse Areola,Ola Aina,Tim Ream,Maxime Le Marchand,Antonee Robinson,Tom Cairney,Bobby De Cordova-Reid,André-Frank Zambo Anguissa,Joe Bryan,Ivan Cavaleiro,Aleksandar Mitrovic,Marek Rodák,Michael Hector,Denis Odoi,Stefan Johansen,Neeskens Kebano,Aboubakar Kamara,Ademola Lookman,Buffer,Buffer,58935,Wolverhampton Wanderers,Fulham,1,0,3-5-2,4-2-3-1
Kepa Arrizabalaga,Andreas Christensen,Kurt Zouma,Ben Chilwell,César Azpilicueta,Mason Mount,Jorginho,N'Golo Kanté,Kai Havertz,Christian Pulisic,Timo Werner,Willy Caballero,Fikayo Tomori,Reece James,Hakim Ziyech,Olivier Giroud,Callum Hudson-Odoi,Tammy Abraham,Buffer,Buffer,Alex McCarthy,Jannik Vestergaard,Jan Bednarek,Kyle Walker-Peters,Ryan Bertrand,Theo Walcott,Oriol Romeu,James Ward-Prowse,Nathan Redmond,Che Adams,Danny Ings,Fraser Forster,Yan Valery,Jack Stephens,Ibrahima Diallo,Nathan Tella,Michael Obafemi,Shane Long,Buffer,Buffer,58936,Chelsea,Southampton,3,3,4-2-3-1,4-4-2
Vicente Guaita,Gary Cahill,Tyrick Mitchell,Joel Ward,Cheikhou Kouyaté,Jeffrey Schlupp,Jairo Riedewald,Andros Townsend,James McArthur,Michy Batshuayi,Wilfried Zaha,Stephen Henderson,Nathaniel Clyne,Patrick van Aanholt,Mamadou Sakho,Luka Milivojevic,Eberechi Eze,Christian Benteke,Buffer,Buffer,Mat Ryan,Lewis Dunk,Dan Burn,Adam Webster,Tariq Lamptey,Solly March,Benjamin White,Yves Bissouma,Adam Lallana,Neal Maupay,Leandro Trossard,Jason Steele,Bernardo,Joël Veltman,Pascal Groß,Alexis Mac Allister,Steven Alzate,Aaron Connolly,Buffer,Buffer,58937,Crystal Palace,Brighton and Hove Albion,1,1,4-4-2,3-4-2-1
Jordan Pickford,Lucas Digne,Yerry Mina,Michael Keane,Séamus Coleman,Allan,Abdoulaye Doucouré,André Gomes,Dominic Calvert-Lewin,Richarlison,James Rodríguez,Robin Olsen,Ben Godfrey,Fabian Delph,Tom Davies,Gylfi Sigurdsson,Alex Iwobi,Bernard,Buffer,Buffer,Adrián,Joel Matip,Virgil van Dijk,Andrew Robertson,Trent Alexander-Arnold,Fabinho,Thiago,Jordan Henderson,Sadio Mané,Mohamed Salah,Roberto Firmino,Caoimhin Kelleher,Joseph Gomez,Curtis Jones,Georginio Wijnaldum,James Milner,Diogo Jota,Takumi Minamino,Buffer,Buffer,58938,Everton,Liverpool,2,2,4-3-3,4-3-3
Illan Meslier,Stuart Dallas,Robin Koch,Pascal Struijk,Luke Ayling,Mateusz Klich,Jack Harrison,Kalvin Phillips,Hélder Costa,Rodrigo,Patrick Bamford,Kiko Casilla,Pablo Hernández,Ezgjan Alioski,Jamie Shackleton,Tyler Roberts,Raphinha,Ian Poveda-Ocampo,Buffer,Buffer,Rui Patrício,Maximilian Kilman,Conor Coady,Willy Boly,Romain Saïss,Pedro Neto,João Moutinho,Nélson Semedo,Leander Dendoncker,Raúl Jiménez,Daniel Podence,John Ruddy,Ki-Jana Hoever,Marçal,Rúben Neves,Owen Otasowie,Fábio Silva,Adama Traoré,Buffer,Buffer,58939,Leeds United,Wolverhampton Wanderers,0,1,4-1-4-1,3-5-2
Kasper Schmeichel,Jonny Evans,Wesley Fofana,Timothy Castagne,James Justin,Youri Tielemans,Nampalys Mendy,Harvey Barnes,Dennis Praet,Ayoze Pérez,Kelechi Iheanacho,Danny Ward,Wes Morgan,James Maddison,Hamza Choudhury,Marc Albrighton,Cengiz Ünder,Islam Slimani,Buffer,Buffer,Emiliano Martínez,Ezri Konsa,Matt Targett,Tyrone Mings,Matthew Cash,John McGinn,Jack Grealish,Trézéguet,Ross Barkley,Douglas Luiz,Ollie Watkins,Jed Steer,Björn Engels,Ahmed El Mohamady,Marvelous Nakamba,Anwar El Ghazi,Conor Hourihane,Bertrand Traoré,Buffer,Buffer,58940,Leicester City,Aston Villa,0,1,4-1-4-1,4-2-3-1
